poem_id,master_poem_id
skvr01203380,skvr01106720
skvr01101390,skvr01106800
skvr01110800,skvr01106840
skvr01113710,skvr01106940
skvr01108830,skvr01107040
skvr01109100,skvr01107040
skvr01103500,skvr01107050
skvr01108840,skvr01107060
skvr01108860,skvr01107120
skvr01109180,skvr01107120
skvr01108870,skvr01107160
skvr01101520,skvr01107180
skvr01108880,skvr01107180
skvr01103830,skvr01107220
skvr01103831,skvr01107221
skvr01105930,skvr01107240
skvr01109190,skvr01107240
skvr01108910,skvr01107540
skvr01102510,skvr01107580
skvr01104680,skvr01107580
skvr01102511,skvr01107582
skvr01104770,skvr01107710
skvr01100850,skvr01108030
skvr01101400,skvr01108030
skvr01102670,skvr01108070
skvr01100900,skvr01108090
skvr01103740,skvr01108090
skvr01104180,skvr01108090
skvr01104980,skvr01108160
skvr01301850,skvr01108350
skvr01204340,skvr01108370
skvr01104260,skvr01108490
skvr01113410,skvr01108490
skvr01101330,skvr01108530
skvr01103330,skvr01108540
skvr01109050,skvr01108560
skvr01105310,skvr01108710
skvr01108810,skvr01109070
skvr01110040,skvr01109420
skvr01109080,skvr01109570
skvr01103490,skvr01109590
skvr01109110,skvr01109590
skvr01109120,skvr01109600
skvr01109121,skvr01109601
skvr01109160,skvr01109640
skvr01109170,skvr01109650
skvr01109220,skvr01109720
skvr01109230,skvr01109730
skvr01109240,skvr01109740
skvr01109340,skvr01109851
skvr01109330,skvr01109860
skvr01300700,skvr01110090
skvr01300660,skvr01110120
skvr01103810,skvr01110140
skvr01104290,skvr01110140
skvr01300370,skvr01110150
skvr01108520,skvr01110160
skvr01301900,skvr01110170
skvr01103470,skvr01110180
skvr01301120,skvr01111600
skvr01115300,skvr01111870
skvr01102150,skvr01112000
skvr01102250,skvr01112060
skvr01101380,skvr01112910
skvr01104320,skvr01113420
skvr01101240,skvr01114670
skvr01302570,skvr01114730
skvr01102410,skvr01115350
skvr01116460,skvr01115360
skvr01301020,skvr01115540
skvr01104900,skvr01116300
skvr01106530,skvr01117030
skvr01112980,skvr01202030
skvr01301440,skvr01202060
skvr01102420,skvr01202310
skvr01102450,skvr01202530
skvr01218600,skvr01202580
skvr01102600,skvr01202980
skvr01106740,skvr01204950
skvr01106750,skvr01204970
skvr01106760,skvr01204990
skvr01103360,skvr01208120
skvr01106770,skvr01208240
skvr01106360,skvr01211070
skvr01108690,skvr01212330
skvr01108700,skvr01212340
skvr01101420,skvr01212500
skvr01217550,skvr01214280
skvr01107760,skvr01218720
skvr01221620,skvr01221340
skvr01221730,skvr01221380
skvr01221770,skvr01221380
skvr01221520,skvr01221450
skvr01221610,skvr01221500
skvr01221590,skvr01221530
skvr01221650,skvr01221570
skvr01221430,skvr01221600
skvr01222860,skvr01221800
skvr01222010,skvr01221990
skvr01223920,skvr01222110
skvr01221471,skvr01222950
skvr01221480,skvr01223910
skvr01224140,skvr01223940
skvr01224190,skvr01223940
skvr01224490,skvr01224120
skvr01224000,skvr01224210
skvr01224180,skvr01224210
skvr01224770,skvr01224600
skvr01224690,skvr01224700
skvr01224390,skvr01224920
skvr01224110,skvr01225041
skvr02100240,skvr02100020
skvr02103930,skvr02100020
skvr02100870,skvr02100320
skvr02100871,skvr02100321
skvr02102300,skvr02100350
skvr02105900,skvr02100350
skvr02102290,skvr02100360
skvr02100540,skvr02100440
skvr02103080,skvr02100450
skvr02100060,skvr02100590
skvr02101490,skvr02100590
skvr02101500,skvr02100600
skvr02107190,skvr02100600
skvr02106551,skvr02100610
skvr02106830,skvr02100610
skvr02100750,skvr02100630
skvr02106870,skvr02100640
skvr02107270,skvr02100640
skvr02106600,skvr02100670
skvr02107271,skvr02100681
skvr02107310,skvr02100710
skvr02106640,skvr02100730
skvr02107320,skvr02100740
skvr02103880,skvr02100880
skvr02100220,skvr02100900
skvr02101800,skvr02100910
skvr02101810,skvr02100920
skvr02101820,skvr02100940
skvr02100120,skvr02100950
skvr02100150,skvr02100980
skvr02100160,skvr02100990
skvr02103360,skvr02100990
skvr02100180,skvr02101020
skvr07104010,skvr02101040
skvr02100210,skvr02101050
skvr07104230,skvr02101050
skvr07101271,skvr02101050
skvr02101230,skvr02101060
skvr02101530,skvr02101060
skvr02101240,skvr02101080
skvr02101250,skvr02101090
skvr02101251,skvr02101091
skvr02100070,skvr02101120
skvr02101590,skvr02101120
skvr02100650,skvr02101140
skvr02100780,skvr02101140
skvr02101620,skvr02101140
skvr02101210,skvr02101391
skvr02100250,skvr02101430
skvr02103140,skvr02101430
skvr02100130,skvr02101450
skvr02101070,skvr02101540
skvr02100080,skvr02101600
skvr02100760,skvr02101600
skvr02100850,skvr02101600
skvr02101130,skvr02101600
skvr02100290,skvr02101610
skvr02100770,skvr02101610
skvr02100860,skvr02101610
skvr02103841,skvr02101630
skvr02100090,skvr02101730
skvr02100100,skvr02101751
skvr02102440,skvr02101760
skvr02100040,skvr02101770
skvr02103660,skvr02101790
skvr02104100,skvr02101840
skvr02105030,skvr02101860
skvr02105041,skvr02101931
skvr02105042,skvr02101932
skvr02101100,skvr02101950
skvr02103870,skvr02101950
skvr02106810,skvr02101950
skvr02101101,skvr02101961
skvr02106570,skvr02102010
skvr02102270,skvr02102090
skvr02101680,skvr02102170
skvr02101681,skvr02102171
skvr02101682,skvr02102172
skvr02102570,skvr02102190
skvr02102310,skvr02102230
skvr02101700,skvr02102390
skvr02101690,skvr02102400
skvr02102540,skvr02102400
skvr02105890,skvr02102400
skvr02102610,skvr02102450
skvr02100280,skvr02102460
skvr02101990,skvr02102460
skvr02102350,skvr02102460
skvr02101290,skvr02102470
skvr02103720,skvr02102660
skvr02103570,skvr02102960
skvr02103580,skvr02102970
skvr02104160,skvr02102970
skvr02100110,skvr02103130
skvr02100800,skvr02103220
skvr02100811,skvr02103231
skvr02100790,skvr02103240
skvr02100791,skvr02103241
skvr02100820,skvr02103251
skvr02100380,skvr02103310
skvr02103890,skvr02103310
skvr02103640,skvr02103330
skvr07112310,skvr02103460
skvr02103060,skvr02103490
skvr02100410,skvr02103510
skvr02103100,skvr02103530
skvr02103650,skvr02103560
skvr02104010,skvr02103560
skvr02104180,skvr02103560
skvr02102750,skvr02103590
skvr02101330,skvr02103740
skvr02101160,skvr02103840
skvr02101640,skvr02103840
skvr02103850,skvr02109010
skvr02108300,skvr02103920
skvr02108770,skvr02104030
skvr02108780,skvr02104040
skvr02102670,skvr02104200
skvr02109490,skvr02104200
skvr07126260,skvr02104400
skvr07115080,skvr02104440
skvr02101300,skvr02104470
skvr02105080,skvr02104760
skvr02105090,skvr02104770
skvr02100480,skvr02104790
skvr02105490,skvr02104930
skvr02105560,skvr02104990
skvr02105200,skvr02105060
skvr02104740,skvr02105070
skvr02105740,skvr02105770
skvr02106070,skvr02105870
skvr02106321,skvr02105880
skvr02105940,skvr02106000
skvr02102710,skvr02106020
skvr02104060,skvr02106050
skvr02107180,skvr02106160
skvr02106560,skvr02106250
skvr02108940,skvr02106380
skvr02101220,skvr02106430
skvr02107990,skvr02106651
skvr02107060,skvr02106770
skvr02106590,skvr02106880
skvr02108220,skvr02106880
skvr02108690,skvr02106880
skvr02100550,skvr02106970
skvr02108280,skvr02106970
skvr02100552,skvr02106971
skvr02101200,skvr02106972
skvr02108210,skvr02106972
skvr02100551,skvr02106973
skvr02100560,skvr02106980
skvr02108290,skvr02106980
skvr02100561,skvr02106981
skvr02100570,skvr02107040
skvr02106320,skvr02107230
skvr02100700,skvr02107281
skvr02101440,skvr02107420
skvr02101870,skvr02107530
skvr02102500,skvr02107550
skvr02107880,skvr02107550
skvr02108820,skvr02107550
skvr02107890,skvr02107810
skvr02107740,skvr02107850
skvr02107980,skvr02110230
skvr02107200,skvr02108050
skvr02107220,skvr02108051
skvr02107900,skvr02108360
